year,sample_size,wage,at_cap,union_wage,nonunion_wage,union_wage_premium_raw,union_wage_premium_adjusted,facet
1973,39774,3.963343381881714,0.001110297627747,4.61300802230835,3.754528045654297,0.2286518961191177,0.171743243932724,all wage and salary workers
1974,37966,4.258988380432129,0.0015689060091972,5.021363735198975,4.019071578979492,0.2493840008974075,0.1761085838079452,all wage and salary workers
1975,37812,4.622152328491211,0.0022673374041914,5.428929805755615,4.386672496795654,0.237596333026886,0.1858174055814743,all wage and salary workers
1976,37888,4.914101600646973,0.0029009832069277,5.835836887359619,4.646127223968506,0.2560648024082184,0.1967220604419708,all wage and salary workers
1977,46591,5.235752582550049,0.0035580324474722,6.375394344329834,4.874814033508301,0.3078230917453766,0.2088754773139953,all wage and salary workers
1978,44577,5.578953742980957,0.0038851818535476,6.773647308349609,5.212551116943359,0.2994879484176636,0.2013529241085052,all wage and salary workers
1979,44234,6.357469081878662,0.0051955413073301,7.313542366027832,6.029841899871826,0.2128912359476089,0.1512648463249206,all wage and salary workers
1980,55795,6.889625549316406,0.0069791534915566,7.883334159851074,6.573331356048584,0.1992905437946319,0.1476133316755294,all wage and salary workers
1981,12543,6.965193271636963,0.0076753548346459,8.568615913391113,6.514373779296875,0.3153399229049682,0.1728437095880508,all wage and salary workers
1983,149169,8.055480003356934,0.0172453764826059,9.885915756225586,7.593844890594482,0.3018327355384826,0.2095923274755478,all wage and salary workers
1984,150464,8.37218952178955,0.0215145107358694,10.263042449951172,7.929927349090576,0.2942164540290832,0.2166622877120971,all wage and salary workers
1985,153737,8.776283264160156,0.0255639534443616,10.761096000671388,8.338377952575684,0.2905502915382385,0.2135749459266662,all wage and salary workers
1986,159126,9.158391952514648,0.030427198857069,11.175626754760742,8.723567008972168,0.2810845375061035,0.2038150876760482,all wage and salary workers
1987,155216,9.47605800628662,0.0354012474417686,11.623933792114258,9.027239799499512,0.2876509428024292,0.2027067244052887,all wage and salary workers
1988,147348,9.927749633789062,0.0424375124275684,12.243874549865724,9.454827308654783,0.2949865758419037,0.1955251544713974,all wage and salary workers
1989,149694,10.3885498046875,0.0054772109724581,12.850597381591797,9.898460388183594,0.2982420325279236,0.2075762301683426,all wage and salary workers
1990,156497,10.846484184265137,0.0067628347314894,13.388322830200195,10.362754821777344,0.2919656038284302,0.2050369083881378,all wage and salary workers
1991,151634,11.288135528564451,0.0080470433458685,13.78968906402588,10.814329147338867,0.2751312553882599,0.1941341459751129,all wage and salary workers
1992,149317,11.592909812927246,0.0086610605940222,14.228829383850098,11.098503112792969,0.2820494174957275,0.1945893913507461,all wage and salary workers
1993,145219,11.961444854736328,0.0098734470084309,14.76737117767334,11.43539810180664,0.291373610496521,0.2072143852710724,all wage and salary workers
1994,169102,12.495595932006836,0.012466182000935,15.223639488220217,11.992980003356934,0.269379198551178,0.2352531552314758,all wage and salary workers
1995,168610,12.797718048095703,0.0132515551522374,15.529267311096191,12.318017959594728,0.2606953084468841,0.2243541330099105,all wage and salary workers
1996,117448,13.1061429977417,0.0141085097566246,16.324918746948242,12.55393409729004,0.3003827035427093,0.2188859581947326,all wage and salary workers
1997,119552,13.606158256530762,0.016666829586029,16.95714569091797,13.043376922607422,0.3000579476356506,0.2182384133338928,all wage and salary workers
1998,118889,14.217503547668455,0.0063381739892065,17.434764862060547,13.689599990844728,0.2735773921012878,0.2136074602603912,all wage and salary workers
1999,114439,14.974885940551758,0.0074463663622736,18.238605499267575,14.43868637084961,0.2631762325763702,0.2087100148200988,all wage and salary workers
2000,112154,15.64639377593994,0.0085239177569746,18.626785278320316,15.16817569732666,0.228017508983612,0.1915240436792373,all wage and salary workers
2001,117474,16.553234100341797,0.0099678104743361,19.45644187927246,16.088838577270508,0.2093130201101303,0.1914829611778259,all wage and salary workers
2002,127245,17.062339782714844,0.0112488446757197,20.136552810668945,16.580121994018555,0.214499682188034,0.1896561980247497,all wage and salary workers
2003,121990,17.510738372802734,0.0119978226721286,20.77099227905273,17.005634307861328,0.2214182615280151,0.1913045048713684,all wage and salary workers
2004,120592,17.980926513671875,0.0131976120173931,21.633190155029297,17.43315887451172,0.2409219890832901,0.1795510798692703,all wage and salary workers
2005,122710,18.542238235473636,0.0145510882139205,22.047435760498047,18.02311515808105,0.2232866287231445,0.1763312071561813,all wage and salary workers
2006,122180,19.146053314208984,0.0163324531167745,22.57872200012207,18.652496337890625,0.2104933112859726,0.1687847673892974,all wage and salary workers
2007,122493,19.784500122070316,0.0180365722626447,23.3809871673584,19.2615909576416,0.2138658314943313,0.1701999902725219,all wage and salary workers
2008,121114,20.75271797180176,0.0209442134946584,24.195674896240234,20.237913131713867,0.1955617517232895,0.1703215539455413,all wage and salary workers
2009,118091,21.0881462097168,0.0222726576030254,24.71990966796875,20.541635513305664,0.2034051418304443,0.1599054038524627,all wage and salary workers
2010,111900,21.331689834594727,0.0238791033625602,25.47345924377441,20.73228073120117,0.2286858111619949,0.1679266542196273,all wage and salary workers
